word,hindi
decided,फैसला किया
black or Black,काला या काला
Joey,एक छोटा सा सिक्का
happening,हो रहा
movie,चलचित्र
we'd,बुध
catch,पकड़ना
Antonio,एंटोनियो
country,देश
less,कम
perhaps,शायद
step,कदम
fall,गिरना
watching,देख रहे
kept,रखा
darling,प्रिय
dog,कुत्ता
Ms .,एमएस ।
win,जीतना
air,वायु
honor,सम्मान
personal,निजी
moving,चलती
till,तक
admit,स्वीकार करते हैं
problems,समस्या
murder,हत्या
strong,मज़बूत
he'd,वह था
evil,बुराई
definitely,निश्चित रूप से
feels,महसूस करता
information,जानकारी
honest,ईमानदार
eye,आँख
broke,टूट गया
missed,चुक होना
longer,अब
dollars,डॉलर
tired,थका हुआ
Jason,जेसन
George,जॉर्ज
evening,शाम
human,इंसान
starting,शुरुआत
Ross,रॉस
red,लाल
entire,पूरा
trip,यात्रा
Brooke,ब्रुक
E .,इ ।
club,क्लब
Niles,नाइल्स
suppose,कल्पना करना
calm,शांत
imagine,कल्पना करना
Todd,टॉड
fair,गोरा
caught,पकड़ा गया
B .,बी ।
blame,दोष
street,गली
sitting,बैठक
favor,कृपादृष्टि
apartment,अपार्टमेंट
court,अदालत
terrible,भयानक
clean,साफ
Tony or tony,टोनी या टोनी
learn,सीखना
Alison,एलिसन
Rick,पोरौटी
works,काम करता है
Rose or rose,गुलाब या गुलाब
Frasier,फ्रेजियर
relax,आराम करना
York,न्यूयार्क
million,दस लाख
charity,दान
accident,दुर्घटना
wake,जागो
prove,सिद्ध करना
Danny,डैनी
smart,बुद्धिमान
message,संदेश
missing,गुम
forgot,भूल गया
small,छोटा
interested,इच्छुक
table,मेज़
nbsp,एनबीएसपी
become,बनना
Craig,क्रेग
mouth,मुँह
pregnant,गर्भवती
middle,मध्य
Billy or billy,बिली या बिली
ring,अँगूठी
careful,सावधान
shall,करेगा
dude,दोस्त
team,टीम
ride,सवारी
figured,लगा
wear,घिसाव
shoot,गोली मार
stick,चिपकना
Ray or ray,रे या रे
follow,अनुसरण करना
Bo,बो
angry,गुस्सा
instead,बजाय
buddy,दोस्त
write,लिखना
stopped,रोका हुआ
early,जल्दी
Angel or angel,परी या परी
Nick or nick,निक या निक
ran,दौड़ा
war,युद्ध
standing,खड़ा है
forgive,क्षमा करना
jail,जेल
wearing,पहना हुआ
Miguel,मिगुएल
ladies,महिलाओं
kinda,एक तरह का
lunch,दिन का खाना
Cristian,क्रिस्टियन
eight,आठ
Greenlee,ग्रीनली
gotten,कमाई
hoping,आशा
Phoebe,चांद
thousand,हज़ार
ridge,चोटी
music,संगीत
Luke,ल्यूक
paper,कागज़
tough,कठिन
tape,फीता
Emily,एमिली
state,राज्य
count,गिनती करना
college,कॉलेज
boyfriend,दोस्त
proud,गर्व
agree,सहमत
birthday,जन्मदिन
bill,बिल
seven,सात
they've,वे हैं
Timmy,टिम्मी
history,इतिहास
share,शेयर करना
offer,प्रस्ताव
hurry,जल्दी
ow,ओउ
feet,पैर
wondering,ताज्जुब
simple,सरल
decision,फ़ैसला
building,इमारत
ones,लोगों
finish,खत्म करना
voice,आवाज़
herself,खुद
Chris,क्रिस
would've,चाहेंगे गए
list,सूची
Kay,काय
mess,गड़बड़
deserve,योग्य होना
evidence,प्रमाण
cute,प्यारा
Jerry,जैरी
dress,पोशाक
Richard,रिचर्ड
interesting,दिलचस्प
Jesus,यीशु
James,जेम्स
hotel,होटल
enjoy,आनंद लेना
Ryan,रयान
Lindsay,लिंडसे
quiet,शांत
concerned,संबंधित
road,सड़क
Eve or eve,ईव या ईव
staying,प्रवास के
short,छोटा
M .,एम ।
beat,मारो
sweetie,प्रेमी
mention,उल्लेख
clothes,कपड़े
finished,खत्म
fell,गिरा
neither,कोई भी नहीं
mmm,मम्म
fix,हल करना
Victor or victor,विक्टर या विक्टर
respect,आदर
spent,खर्च किया
prison,कारागार
attention,ध्यान
holding,पकड़े
calls,कॉल
near,पास में
surprised,हैरान
bar,छड़
Beth,बेथ
pass,उत्तीर्ण
keeping,रखते हुए
gift,उपहार
hadn't,नहीं था
putting,डाल
dark,अँधेरा
self,खुद
owe,ऋृणी होना
using,का उपयोग करते हुए
Nora,नोरा
ice,बर्फ़
helping,मदद कर रहा है
bitch,कुतिया
normal,सामान्य
aunt,चाची
lawyer,वकील
apart,अलग
certain,निश्चित
plans,की योजना
Jax,जक
girlfriend,दोस्त
floor,ज़मीन
whether,चाहे
everything 's,सब कुछ
present,उपस्थित
earth,धरती
private,निजी
Jessica,जेसिका
box,डिब्बा
Dawson,डावसन
cover,ढकना
judge,न्यायाधीश
upstairs,ऊपर
Alexis,एलेक्सिस
Shawn,शॉन
sake,कारण
mommy,माँ
possibly,संभवत:
worst,बहुत बुरा
station,स्टेशन
acting,अभिनय
accept,स्वीकार करना
blow,फूँक मारना
strange,अजीब
saved,बचाया
Ivy or ivy,आइवी या आइवी
conversation,बातचीत
plane,विमान
mama,माँ
yesterday,कल
lied,झूठ बोला
quick,जल्दी
lately,हाल ही में
stuck,अटक गया
lovely,प्यारा
security,सुरक्षा
report,प्रतिवेदन
Barbara,बारबरा
difference,अंतर
rid,छुटकारा दिलाना
tv or TV,टीवी या टीवी
Adam,एडम
store,इकट्ठा करना
she'd,ओसारा
bag,थैला
Mike,माइक
bought,खरीदा
ball,गेंद
single,अकेला
Kevin,केविन
doubt,संदेह
listening,सुनना
major,प्रमुख
walking,चलना
cops,पुलिस
blue,नीला
deep,गहरा
dangerous,खतरनाक
Buffy,बफी
park or Park,पार्क या पार्क
sleeping,सोना
Chloe,क्लो
Rafe,रफ
shh,श
record,अभिलेख
lord,भगवान
Erica,एरिका
moved,ले जाया गया
join,जोड़ना
key,चाबी
captain,कप्तान
card,कार्ड
crime,अपराध
gentlemen,सज्जनों
willing,इच्छुक
window,खिड़की
return,वापस करना
walked,चला
guilty,अपराधी
Brenda,ब्रेंडा
likes,पसंद है
fighting,लड़ाई करना
difficult,कठिन
soul,आत्मा
joke,चुटकुला
service,सेवा
magic,जादू
favorite,पसंदीदा
uncle,चाचा
promised,वादा
public,जनता
bother,परेशान
island,द्वीप
Jim,जिम
seriously,गंभीरता से
cell,कक्ष
lead,नेतृत्व करना
knowing,जानने
broken,टूटा हुआ
advice,सलाह
somehow,किसी तरह
paid,चुकाया गया
Blair,ब्लेयर
losing,हार
push,धकेलना
helped,मदद की
killing,मारना
usually,आम तौर पर
earlier,पहले
boss,मालिक
Laura,लौरा
beginning,शुरुआत
liked,पसंद किया
innocent,मासूम
doc,डॉक्टर
rules,नियम
Elizabeth,एलिज़ाबेथ
Sabrina,सबरीना
summer or Summer,गर्मी या गर्मी
ex,पूर्व
cop,पुलिस
learned,सीखा
thirty,तीस
risk,जोखिम
letting,दे
Phillip,फिलिप
speaking,बोला जा रहा है
officer,अफ़सर
ridiculous,हास्यास्पद
support,सहायता
afternoon,दोपहर
Eric,एरिक
born,जन्म
dreams,सपने
apologize,क्षमा माँगना
seat,सीट
nervous,घबराया हुआ
across,आर-पार
song,गाना
Olivia,ओलिविया
charge,शुल्क
patient,मरीज़
Cassie,कैसी
boat,नाव
how'd,कैसे
brain,दिमाग
hide,छिपाना
detective,जासूसी
Aaron,ऐरोन
Kendall,केंडल
general,सामान्य
Tom,टॉम
planning,योजना
nine,नौ
huge,विशाल
breakfast,नाश्ता
horrible,भयंकर
age,आयु
awful,भयंकर
pleasure,आनंद
driving,ड्राइविंग
hanging,फांसी
picked,उठाया
system,प्रणाली
sell,बेचना
quit,छोड़ना
apparently,जाहिरा तौर पर
dying,मरना
notice,सूचना
Josh,जोश
congratulations,बधाई हो
chief,अध्यक्ष
faith,आस्था
Simon,साइमन
gay,समलैंगिक
ho or Ho,हो या हो
one's,एक व्यक्ति
month,महीना
visit,मिलने जाना
Hal,हैल
could've,कर सकती थीं
c'mon,चलो
aw,अरे
Edmund,एडमंड
Brady,ब्रैडी
letter,पत्र
decide,तय करना
American,अमेरिकन
double,दोहरा
Troy,ट्रॉय
sad,उदास
press,प्रेस
forward,आगे
fool,मूर्ख
showed,दिखाया है
smell,गंध
seemed,प्रतीत हुआ
Mary,मेरी
spell,बोलना
Courtney,कर्टनी
memory,याद
Mark or mark,चिह्न या चिह्न
Alan,एलन
pictures,चित्रों
Paris,पेरिस
slow,धीमा
Joe or joe,जो या जो
Tim,टिम
seconds,सेकंड
hungry,भूखा
board,तख़्ता
position,पद
hearing,सुनवाई
Roz,रोज़
kitchen,रसोईघर
ma'am,महोदया
Bob or bob,बॉब या बॉब
force,बल
fly,उड़ना
during,दौरान
space,अंतरिक्ष
should've,है चाहिए
realized,समझना
experience,अनुभव
kick,लात मारना
others,अन्य
grab,झपटना
mother 's,माँ का
P .,पी ।
Sharon,शेरोन
discuss,चर्चा करना
third,तीसरा
cat or Cat,बिल्ली या बिल्ली
fifty,पचास
responsible,जिम्मेदार
Jennifer,जेनिफर
Philip,फ़िलिप
miles or Miles,मील या मील
fat,मोटा
reading,पढ़ना
idiot,बेवकूफ़
yep,हां
rock,चट्टान
rich,अमीर
suddenly,अचानक
agent,प्रतिनिधि
bunch,गुच्छा
destroy,नष्ट करना
bucks,बक्स
track,रास्ता
shoes,जूते
scene,दृश्य
peace,शांति
arms,हथियारों
demon,राक्षस
Diane,DIANE
Bridget,ब्रिजेट
Brad,चपटी कील
low,कम
Livvie,लिववी
consider,विचार करना
papers,पत्रों
medical,चिकित्सा
incredible,अविश्वसनीय
witch,चुड़ैल
er,एर
drunk,पिया हुआ
attorney,प्रतिनिधि
Charlie,चार्ली
tells,कहता है
knock,दस्तक
Karen,करेन
ways,तौर तरीकों
eh,एह
belle or Belle,बेले या बेले
cash or Cash,नकद या रोकड़
gives,देता है
department,विभाग
nose,नाक
Skye,आकाश
turns,मोड़ों
keeps,रखता है
beer,बियर
jealous,ईर्ष्या
drug,दवाई
Molly,पतुरिया
sooner,पहले
cares,चिन्ताओं
plenty,बहुत
extra,अतिरिक्त
tea,चाय
won,जीत गया
attack,आक्रमण करना
ground,मैदान
whose,किसका
outta,बाहर
Kyle,केली
L .,एल।
weekend,सप्ताहांत
matters,मामले
wrote,लिखा
type,प्रकार
father 's,पिता की
Alex,एलेक्स
gosh,भगवान
opportunity,अवसर
king,राजा
impossible,असंभव
books,पुस्तकें
machine,मशीन
waste,बरबाद करना
th#English|-th|th,Th#अंग्रेजी | -th | Th
pretend,बहाना करना
named,नाम
danger,खतरा
wall,दीवार
Liz,लिज़
Ian,आईएएन
Henry,हेनरी
jump,कूदना
eating,खाना
proof,सबूत
complete,पूरा
slept,सो गए
career,आजीविका
arrest,गिरफ़्तार करना
star,तारा
Phyllis,फिलिस
Mac,मैक
breathe,साँस लेना
perfectly,पूरी तरह से
warm,गरम
pulled,खींच लिया
Maria,मारिया
twice,दो बार
easier,आसान
killer,हत्यारा
goin ',में जाना '
dating,डेटिंग
suit,सुविधाजनक होना
romantic,प्रेम प्रसंगयुक्त
drugs,ड्रग्स
comfortable,आरामदायक
Isaac,इसहाक
powers or Powers,शक्तियां या शक्तियां
finds,ढूंढता है
checked,चेक किए गए
fit,उपयुक्त
divorce,तलाक
begin,शुरू
ourselves,हम स्वयं
closer,करीब
ruin,बर्बाद करना
although,हालांकि
smile,मुस्कान
laugh,हँसना
fish,मछली
Abigail,अबीगैल
treat,इलाज
god 's,भगवान का
fear,डर
Anna,अन्ना
what'd,क्या
Simone,सिमोन
Amber,अंबर
guy 's,दोस्तो
otherwise,अन्यथा
excited,उत्साहित
mail,मेल
hiding,छुपा रहे है
cost,लागत
green or Green,हरा या हरा
stole,चुराई
Pacey,पसीली
noticed,ध्यान दिया
Liza,लिज़ा
fired,निकाल दिया
Daphne,Daphne
Whitney,व्हिटनी
excellent,उत्कृष्ट
lived,रहते थे
bringing,लाना
pop,जल्दी से आना
piper or Piper,पाइपर या पाइपर
bottom,तल
note,टिप्पणी
sudden,अचानक
church,गिरजाघर
bathroom,स्नानघर
flight,उड़ान
Chad or chad,चाड या चाड
la or LA,ला या ला
honestly,ईमानदारी से
sing,गाओ
Katie,केटी
foot,पैर
games,खेल
glass,काँच
N .,एन ।
Mitch,मिच
remind,याद दिलाना
bank,किनारा
Rory,रोरी
charges,प्रभार
witness,गवाह
finding,खोज
places,स्थानों
tree,पेड़
dare,हिम्मत
hardly,मुश्किल से
that'll,कि करेंगे
U .,यू।
interest,दिलचस्पी
steal,चुराना
princess,राजकुमारी
silly,नासमझ
contact,संपर्क
teach,पढ़ाना
shop,दुकान
plus,प्लस
colonel,कर्नल
fresh,ताजा
trial,परीक्षण
invited,आमंत्रित
roll,रोल
radio,रेडियो
art,कला
reach,पहुँचना
heh,हेह
dirty,गंदा
choose,चुनना
emergency,आपातकाल
dropped,गिरा दिया
butt,बट
credit,श्रेय
obvious,ज़ाहिर
cry,चिल्लाना
locked,बंद
Larry,लैरी
loving,प्यार
positive,सकारात्मक
nuts,पागल
agreed,मान गया
Prue,प्रू
price or Price,कीमत या कीमत
goodbye,अलविदा
condition,स्थिति
guard,रक्षक
fuckin ',साला
grow,बढ़ना
cake,केक
mood,मनोदशा
dad 's,पिताजी
Bianca,बियांका
total,कुल
crap,बकवास
crying,रोना
Paige,Paige
K . or 'k,क । या 'k
belong,संबंधित
lay,बिछाना
partner,साथी
trick,चाल
pressure,दबाव
ohh,ओह
arm,हाथ
dressed,कपड़े पहने
cup,कप
lies,झूठ
bus,बस
taste,स्वाद
neck,गरदन
south,दक्षिण
something 's,कुछ है
nurse,देखभाल करना
raise,उठाना
land,भूमि
cross,पार करना
lots,बहुत
mister,श्रीमान
carry,ढोना
group,समूह
whoever,कोई भी हो
Eddie,एडी
drinking,पीने
they'd,वे चाहते
breaking,टूटने के
file,फ़ाइल
lock,ताला
computer,कंप्यूटर
yo,यो
Rebecca,रेबेका
wine,शराब
closed,बंद किया हुआ
writing,लिखना
spot,स्थान
paying,का भुगतान
study,अध्ययन
assume,मान लीजिए
asleep,सो गया
man 's,पुस्र्ष का
turning,मोड़
legal,कानूनी
justice,न्याय
Viki,Viki
Chandler,दुकानदार
bedroom,सोने का कमरा
shower,फव्वारा
Nikolas,निकोलस
camera,कैमरा
fill,भरना
reasons,कारण
forty,चालीस
bigger,बड़ा
nope,नहीं
keys,चांबियाँ
Starr,स्टार
breath,साँस
doctors,डॉक्टरों
pants,पैंट
freak,सनकी
level,स्तर
French,फ्रांसीसी
movies,चलचित्र
gee,आगे बढ़ना
Monica,मोनिका
action,कार्रवाई
area,क्षेत्र
folks,जनसामान्य
Steve,स्टीव
cream,मलाई
ugh,ऊ
continue,जारी रखना
focus,केंद्र
wild,जंगली
truly,सही मायने में
Jill or jill,जिल या जिल
desk,मेज़
convince,राजी करना
client,ग्राहक
threw,फेक दिया
Taylor,टेलर
band,बैंड
hurts,दर्द होता है
Charles,चार्ल्स
spending,खर्च
Neil,नील
field or Field,क्षेत्र या क्षेत्र
allow,अनुमति दें
grand,ग्रैंड
answers,जवाब
shirt,कमीज
chair,कुर्सी
Christ or christ,मसीह या मसीह
allowed,अनुमत
rough,किसी न किसी
doin,कर
sees,देखता है
government,सरकार
Harry,सताना
ought,चाहिए
empty,खाली
round,गोल
lights,दीपक
insane,पागल
hall or Hall,हॉल या हॉल
hat,टोपी
bastard,हरामी
wind,हवा
shows,दिखाता है
aware,जागरूक
dealing,व्यवहार
pack,सामान बाँधना
meaning,अर्थ
flowers,पुष्प
